Flokkun,A7_1999,B5_1999,B8_1999,C4_1999,E3_1999,A7_2013,B5_2013,B8_2013,C4_2013,E3_2013,E4_2013,A7_2014,B5_2014,B8_2014,C4_2014,E3_2014,E4_2014,A7_2015,B5_2015,B8_2015,C4_2015,E3_2015,E4_2015,A7_2016,B5_2016,B8_2016,C4_2016,E3_2016,E4_2016,A7_2017,B5_2017,B8_2017,C4_2017,E3_2017,E4_2017
Abra nitida,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,40,,4,5,32,72,68,32,,40
Abra prismatica,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Acanthocardia echinata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Acanthocardia tuberculata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Acarina,,,,,,,8,,,2,,,,,,,,,,,,,,,,,,,,,,,,,
Ampharete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,
Ampharete acutifrons,,,,,14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4
Ampharetidae,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,4,4
Ampharetinae,1,4,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amphipoda,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amphipoda,,,,,,,,,,,,,7,,,8,,,,,,4,,4,,12,8,4,81,,,12,4,8,9
Amphitrite cirrata,,,,,,,,,,,,,,,,11,,,,,,1,,,,,,1,,,,,,1,
Anthozoa,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Apistobranchus tullbergi,,4,1,,5,,,,,,,,,,,,,,,,,4,4,,,,,,,,,4,,8,
Arctica islandica,,4,9,,3,,,,8,,,,,,1,1,,,,,,,4,,4,48,1,4,8,4,4,20,,4,24
Arenicola marina,,,,,,,,,,,,,,,2,,4,,,,1,,,,,,,,,,,,4,,
Aricidea,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,
Aricidea suecica,,,,,,,,,17,8,,,,,,8,,4,,,,,4,16,12,4,16,24,4,12,20,,4,4,12
Astarteungv,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asteroidea,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,4
Balanus,,,,,,,,,,,,,,,,364,,,,,100,,,,,,,,,,,,,,184
Balanus balanus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,
Bivalvia,,,2,8,,16,,,64,16,1,,,,,,,,,4,,,,20,24,20,,8,4,,,,,,
Bryozoa,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,
Buccinum undatum,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Campanulariidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,
Capitella capitata,,,,,,24,1247,343,914,2877,2530,804,156,374,9,28,170,,4,,,,,11,,,,4,4,,,,,,
Capitellidae,,,,,,,,,,,,,,,,,,,,,,,,12,4,4,,,1,,,,,,
Caprella septentrionalis,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caprellidae,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,4,
Cardiidae,,,,,,,,,,,,,,,,,,,4,,4,,,,,,,,,8,12,12,,,4
Cardium,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,
Chaetozone setosa,4,39,7,2,6,,,,35,120,,,1,,7,183,22,,16,4,53,47,50,1,40,,48,37,38,28,24,20,96,24,8
Ciliatocardium ciliatum ciliatum,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,
Cirratulidae,,,,,,,,,,,,,,,,,,,,,,,,,4,,16,1,,,,,,,
Cirratulus cirratus,,,,,1,,,,,,,,1,,4,8,4,,4,,4,21,,,,,,,6,,,,,4,
Cistenides granulata,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,
Cistenides hyperborea,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,
Collembola,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Copepoda,,,,,,,147,,80,95,160,,,,,,,,,,,,,,,,,,,,,,,,
Corophium bonnellii,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,8,,4,,32,100
Cossura longocirrata,1,,29,,14,,,,,1,,,,,,,,,,,,,8,24,20,4,,8,,4,16,12,,4,
Cossura pygodactylata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,24
Cossuridae,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,
Crassicorophium bonellii,,,,,8,,,,,,,,,,,,,,,,,,,8,,,,20,8,,,,,,
Crenella,,,,,,,,,,,,,,,,,,4,,,4,,,,,,,,,,,,,,
Crenella decussata,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumacea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,4
Cyclopterus lumpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Dexamine thea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,
Dodecaceria concharum,,8,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,
Dorvilleidae,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,
Ennucula tenuis,7,32,25,10,5,,,,,,,,1,,2,,,,12,,,4,,,32,24,,,,,4,,4,4,
Eteone longa,1,,2,,3,,,8,17,13,,,,,,,,,,,,,,1,,8,20,5,55,,,,,,
Eteone longa ,,,,,,,,,,,,132,68,28,102,36,44,6,10,6,50,18,20,,,,,,,8,12,,24,9,33
Euchone,,,,,,,,,,,,,1,,,,,,,,,,8,,,,,,,,,,,4,
