"Artal","stod","col","variable","value"
"1999","A7","SR-De","N",532
"1999","A7","SR-Pr-mac","N",44
"1999","A7","SR-Pr-mei","N",44
"1999","A7","SR-Su","N",311
"1999","A7","SS-De","N",711
"1999","B5","EP-Su","N",1245
"1999","B5","SR-Ch-Om","N",178
"1999","B5","SR-De","N",5155
"1999","B5","SR-Pr-mei","N",44
"1999","B5","SS-De","N",4888
"1999","B5","SS-Pr-mac","N",356
"1999","B8","EP-Su","N",222
"1999","B8","SR-De","N",2532
"1999","B8","SR-He-mic","N",44
"1999","B8","SR-Pr-mac","N",89
"1999","B8","SR-Pr-mei","N",178
"1999","B8","SR-Su","N",933
"1999","B8","SS-De","N",2666
"1999","C4","EP-Pr-zoo","N",133
"1999","C4","EP-Su","N",1244
"1999","C4","SR-De","N",533
"1999","C4","SR-Dt","N",89
"1999","C4","SR-He-mic","N",178
"1999","C4","SR-Pr-mei","N",44
"1999","C4","SR-Su","N",222
"1999","C4","SS-De","N",2267
"1999","C4","SS-Pr-mac","N",44
"1999","E3","EP-Pr-zoo","N",356
"1999","E3","EP-Su","N",444
"1999","E3","SR-Ch-Om","N",178
"1999","E3","SR-De","N",7200
"1999","E3","SR-Dt","N",133
"1999","E3","SR-Pr-mac","N",133
"1999","E3","SR-Pr-mei","N",311
"1999","E3","SR-Su","N",400
"1999","E3","SS-De","N",2399
"1999","E3","SS-Pr-mac","N",44
"1999","E3","SS-Sc-mac","N",89
"1999","E4","SR-De","N",1288
"1999","E4","SR-He-mic","N",711
"1999","E4","SR-Pr-mac","N",44
"1999","E4","SR-Pr-mei","N",44
"1999","E4","SR-Su","N",89
"1999","E4","SS-De","N",531
"1999","E4","SS-Pr-mac","N",44
"2013","B5","SR-Pr-mei","N",67
"2013","B8","SR-Pr-mac","N",67
"2013","C4","SR-De","N",500
"2013","C4","SR-Pr-mac","N",435
"2013","C4","SS-De","N",92
"2013","E3","SR-De","N",1083
"2013","E3","SR-Pr-mac","N",367
"2013","E3","SR-Pr-mei","N",17
"2013","E3","SR-Su","N",8
"2013","E3","SS-De","N",50
"2014","A7","SR-De","N",33
"2014","A7","SR-Pr-mac","N",1099
"2014","B5","SR-De","N",516
"2014","B5","SR-He-mic","N",8
"2014","B5","SR-Pr-mac","N",608
"2014","B5","SR-Su","N",58
"2014","B5","SS-De","N",16
"2014","B5","SS-Pr-mac","N",16
"2014","B5","SS-Sc-mac","N",33
"2014","B8","EP-Su","N",33
"2014","B8","SR-He-mic","N",33
"2014","B8","SR-Pr-mac","N",233
"2014","C4","EP-Sp-fis","N",16
"2014","C4","SR-De","N",316
"2014","C4","SR-Pr-mac","N",966
"2014","C4","SR-Pr-mei","N",50
"2014","C4","SS-De","N",150
"2014","C4","SS-Sc-mac","N",66
"2014","E3","EP-Su","N",624
"2014","E3","SR-De","N",2064
"2014","E3","SR-He-mic","N",66
"2014","E3","SR-Om-mic","N",33
"2014","E3","SR-Pr-mac","N",1275
"2014","E3","SR-Pr-mei","N",8
"2014","E3","SR-Su","N",166
"2014","E3","SS-De","N",307
"2014","E3","SS-Pr-mac","N",8
"2014","E3","SS-Sc-mac","N",108
"2014","E4","EP-Sp-fis","N",33
"2014","E4","EP-Su","N",58
"2014","E4","SR-De","N",333
"2014","E4","SR-Pr-mac","N",459
"2014","E4","SR-Pr-mei","N",8
"2014","E4","SR-Su","N",75
"2014","E4","SS-De","N",92
"2014","E4","SS-Pr-mac","N",8
"2014","E4","SS-Sc-mac","N",33
"2015","A7","EP-Su","N",133
"2015","A7","SR-De","N",400
"2015","A7","SR-He-mic","N",33
"2015","A7","SR-Pr-mac","N",50
"2015","A7","SS-De","N",174
"2015","B5","EP-Su","N",299
"2015","B5","SR-De","N",1433
"2015","B5","SR-Pr-mac","N",82
"2015","B5","SS-De","N",1372
"2015","B5","SS-Pr-mac","N",33
"2015","B8","EP-Su","N",133
"2015","B8","SR-De","N",534
"2015","B8","SR-Pr-mac","N",50
"2015","B8","SS-De","N",333
"2015","C4","EP-Sp-fis","N",8
"2015","C4","EP-Su","N",266
"2015","C4","SR-De","N",1700
"2015","C4","SR-Pr-mac","N",450
"2015","C4","SR-Pr-mei","N",33
"2015","C4","SS-De","N",1999
"2015","C4","SS-Pr-mac","N",33
"2015","E3","EP-Pr-zoo","N",33
"2015","E3","EP-Su","N",482
"2015","E3","SR-De","N",1367
"2015","E3","SR-He-mic","N",133
"2015","E3","SR-Pr-mac","N",558
"2015","E3","SR-Pr-mei","N",33
"2015","E3","SR-Su","N",266
"2015","E3","SS-De","N",1198
"2015","E3","SS-Pr-mac","N",8
"2015","E3","SS-Sc-mac","N",134
"2015","E4","EP-Su","N",100
