"final_taxon_name","Artal","stod","Flokkun","N","exact_taxon_name","matched_taxon_name","Major Group","Family code","Species code","Food Source","Motility","Habit","Om/Ca/He","Food size/type","FeedMode","Feeding guild","Cleaned Taxon name"
"Alia carinata","2017","B5","Acanthocardia echinata",8,NA,"Alia carinata","MOGA","0516","0032","SR","M","F","Ca","mac","Pr","SR-Pr-mac","Alia carinata"
"Ampharete acutifrons","2014","E3","Ampharete acutifrons",8,"Ampharete acutifrons","Ampharete acutifrons","POSE","0242","0040","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Ampharete acutifrons"
"Amphitrite cirrata","2016","E3","Amphitrite cirrata",8,"Amphitrite cirrata","Amphitrite cirrata","POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","2017","E3","Amphitrite cirrata",8,"Amphitrite cirrata","Amphitrite cirrata","POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","2015","E3","Amphitrite cirrata",8,"Amphitrite cirrata","Amphitrite cirrata","POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","2014","E3","Amphitrite cirrata",91,"Amphitrite cirrata","Amphitrite cirrata","POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","2016","B8","Amphitrite cirrata",67,"Amphitrite cirrata","Amphitrite cirrata","POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Apistobranchus tullbergi","1999","E3","Apistobranchus tullbergi",222,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","2015","E3","Apistobranchus tullbergi",33,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","2015","E4","Apistobranchus tullbergi",33,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","2017","B8","Apistobranchus tullbergi",33,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","2017","E3","Apistobranchus tullbergi",66,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","1999","B5","Apistobranchus tullbergi",178,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","1999","E4","Apistobranchus tullbergi",133,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Apistobranchus tullbergi","1999","B8","Apistobranchus tullbergi",44,"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","0244","0135","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Apistobranchus tullbergi"
"Arachnida","1999","B8","Abra nitida",89,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","2017","E4","Abra nitida",333,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","2017","C4","Abra nitida",267,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","2016","E3","Abra nitida",33,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","2016","E4","Abra nitida",41,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","1999","A7","Abra nitida",44,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","1999","C4","Abra nitida",44,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","2017","B5","Abra nitida",600,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","2017","A7","Abra nitida",267,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
"Arachnida","2013","B5","Acarina",67,NA,"Arachnida","CHAC","0000","0025","SR","M","F","Ca","mic/mei","Pr","SR-Pr-mei","Arachnida"
