Flokkun,N,skipting,ath
Ophelina acuminata,23,1,
Pectinaria koreni,1,1,
Spio filicornis,1,1,
Foraminifera,11,1,óviss
ostracoda,4,1,einn kraminn
Polydora,13,1,
Praxillella praetermissa,3,1,
Maldanidae,2,1,
Leaena ebranchiata,1,1,óviss með tegund en ekki family
ostracoda,3,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
harpacticoida,3,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
Foraminifera,2,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
rækjulirfa,1,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
lirfur,8,¼,"Foraminifera,harpacticoida, ostracoda og lirfur saman í túbu."
priapulidae,1,¼,
Ophelina acuminata,1,¼,
Scoloplos armiger,1,¼,
Polydora,12,¼,
Heteromastus filiformis,5,,"óviss, kannski einn mediomastus gracilis"
Aricidea catherinae,1,,suecica
Maldanidae,2,,Vantar afturenda (setti nokkra afturenda í túbuna)
Lanassa venusta,1,,
