Flokkun,N,skipting,ath
Abra nitida,,,
Acanthocardia tuberculata,,,
Amphipoda,,,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,1,1,
Aricidea suecica,,,
Balanus balanus,,,
Bivalvia,,,
Campanulariidae,,,
Capitella capitata,,,
Capitellidae,,,
Chaetozone setosa,4,4,
Chaetozone setosa,,,
Cirratulidae,,,
Cirratulus cirratus,,,
Cossura longocirrata,,,
Cossuridae,,,
Crassicorophium bonellii,,,
Cumacea,,,
Eteone longa,1,4,
Eteone longa,,,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrosa,,,
Harmothoe imbricata,,,
Harmothoe imbricata,,,
Harmothoe nodosa,,,
Harpacticoida sp,,,
Harpacticoida sp,,,
Heteromastus filiformis,2,4,
Heteromastus filiformis,,,
Hialella arctica,,,
Kurtiella bidentata,,,
Leda minuta,,,Nuculana ’ dag
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcaria,,,
Macoma calcaria,17,4,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Mediomastus fragilis,,,
Microphthalmus aberrans,1,4,
Mya arenaria,,,
Nematoda,,,
Nematoda,,,
Nemertea sp,,,
Nemertea sp,,,
Nephtys,1,1,
Nuculana minuta,,,
Nuculana pernula,1,4,
Oligochaeta sp,,,
Oligochaeta sp,1,1,
Ophelina acuminata,,,
Ophelina acuminata,21,4,
Ophiuroidea,,,
Orbiniidae,,,
Ostracoda,,,
Ostracoda,,,
—ßekkt,7,4,
—ßekkt,,,
Paraonidae ,,,
Pectinaria granulata,,,
Pectinaria hyperborea,,,
Pectinariidae sp,,,
Phyllodoce maculata,,,
Phyllodocida,,,
Platyhelminthes,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,,,
Polydora,,,
Polynoidae,,,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,1,4,
Priapulidae sp,1,1,Sennilega alltaf Priapulus caudatus en Priapulus er meÝ AMBI
Protomedeia fasciata,,,
Pygospio elegans,,,
Scalibregma inflatum,2,4,
Scalibregma inflatum,,,
Scoloplos armiger,1,1,
Scoloplos armiger,9,4,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
Sphaerosyllis,,,
spio,,,
Spionidae sp,1,1,
Spionidae sp,1,4,
Syllidae,,,
Terebellinae,,,
Tubificoides kozloffi,,,
