Flokkun,N,skipting,ath
Abra nitida,,,
Abra prismatica,,,
Acanthocardia tuberculata,,,
Amphipoda,,,
Amphipoda,,,
Amphitrite cirrata,,,
Arctica islandica,,,
Aricidea suecica,,,
Balanus balanus,,,
Bivalvia,,,
Campanulariidae,,,
Capitella capitata,,,
Capitellidae,,,
Chaetozone setosa,3,4,
Chaetozone setosa,,,
Cirratulidae,1,4,
Cirratulus cirratus,,,
Cossura longocirrata,,,
Cossuridae,,,
Crassicorophium bonellii,,,
Cumacea,,,
Eteone longa,,,
Eteone longa,,,
Foraminifera,,,
Foraminifera,,,
Gattyana cirrosa,,,
Harmothoe imbricata,,,
Harmothoe imbricata,,,
Harmothoe nodosa,,,
Harpacticoida sp,,,
Harpacticoida sp,,,
Heteromastus filiformis,,,
Heteromastus filiformis,,,
Hialella arctica,,,
Kurtiella bidentata,2,4,
Leda minuta,,,
Levinsenia gracilis,,,
lirfurOgDrasl,,,
lirfurOgDrasl,,,
Lumbrineridae sp,,,
Macoma calcaria,,,
Macoma calcaria,,,
Maldanidae,,,
Maldanidae,,,
Maldanidae með augu,,,
Mediomastus fragilis,7,4,
Microphthalmus aberrans,,,
Mya arenaria,,,
Mytilidae,,,
Nematoda,,,
Nematoda,,,
Nemertea sp,,,
Nemertea sp,,,
Nephtyidae,1,1,
Nephtys,,,Nephtyidae
Nuculana minuta,,,
Nuculana pernula,1,4,
Oligochaeta sp,,,
Oligochaeta sp,,,
Ophelina acuminata,1,1,
Ophelina acuminata,51,4,
Ophiuroidea,,,
Orbiniidae,,,
Ostracoda,,,
Ostracoda,,,
—ßekkt,,,
—ßekkt,,,
Paraonidae ,,,
Pectinaria granulata,,,
Pectinaria hyperborea,,,
Pectinariidae sp,,,
Phyllodoce maculata,,,
Phyllodocida,,,
Platyhelminthes,,,
Polychaeta sp,,,
Polychaeta sp,,,
Polydora,,,
Polydora,,,
Polynoidae,,,
Polynoidae,,,
Polynoidae,,,
Praxillella praetermissa,,,
Praxillella praetermissa,,,
Priapulidae sp,,,
Priapulidae sp,,,
Protomedeia fasciata,,,
Pygospio elegans,,,
Scalibregma inflatum,1,4,
Scalibregma inflatum,,,
Scoloplos armiger,16,4,
Scoloplos armiger,,,
Sipuncula ,,,
Sphaerodoropsis minuta,,,
Sphaerosyllis,,,
spio,,,
Spionidae sp,2,4,
Spionidae sp,,,
Syllidae,,,
Terebellinae,1,4,
Tubificoides kozloffi,,,
