"Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Infraorder","Parvorder","Subspecies","Infraphylum","Parvphylum","Gigaclass","Subkingdom","Infrakingdom","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu"
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","C4A",3,2017,4,"C4",12
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","A7C",5,2017,4,"A7",20
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","A7B",3,2017,4,"A7",12
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","E4A",1,2016,1,"E4",1
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","B5C",5,2017,4,"B5",20
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","E3C",1,2016,4,"E3",4
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","B8C",5,2017,4,"B8",20
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","E4C",1,2016,4,"E4",4
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","B8C",10,2016,4,"B8",40
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","C4B",2,2017,4,"C4",8
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","C4C",3,2017,4,"C4",12
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","B5A",3,2017,4,"B5",12
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","E4B",5,2017,4,"E4",20
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","B8B",3,2017,4,"B8",12
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","E4C",4,2017,4,"E4",16
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","B8A",9,2017,4,"B8",36
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","B5B",10,2017,4,"B5",40
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra nitida",,,,,,,,,,,,,,,,"Abra nitida","E4A",1,2017,4,"E4",4
"Animalia","Mollusca","Bivalvia","Autobranchia","Heteroconchia","Euheterodonta","Imparidentia","Cardiida","Tellinoidea","Semelidae","Abra","Abra prismatica",,,,,,,,,,,,,,,,"Abra prismatica","C4B",1,2016,4,"C4",4
