"Flokkun","matched_taxon_name","Major Group","Feeding guild","N"
"Abra nitida","Semelidae","MOBI","EP-Su",298
"Abra prismatica","Semelidae","MOBI","EP-Su",4
"Acanthocardia echinata","Cardiidae","MOBI","EP-Su",1
"Acanthocardia tuberculata","Cardiidae","MOBI","EP-Su",4
"Acarina","Arachnida","CHAC","SR-Pr-mei",27
"Acmaea testudinalis","Acmaeidae","MOGA","SR-He-mac",1
"Ampharete","Ampharete","POSE","SR-De",5
"Ampharete acutifrons","Ampharete acutifrons","POSE","SR-De",20
"Ampharetidae","Ampharetidae","POSE","SR-De",12
"Ampharetinae","Ampharetidae","POSE","SR-De",10
"amphipoda","Amphipoda","CRAM","SR-Om-mic",21
"Amphipoda","Amphipoda","CRAM","SR-Om-mic",162
"Amphitrite affinis","Amphitrite","POSE","SR-De",1
"Amphitrite cirrata","Amphitrite cirrata","POSE","SR-De",15
"Anthozoa","Anthozoa","CNAN","SR-Pr-mac",1
"Apistobranchus tullbergi","Apistobranchus tullbergi","POSE","SR-De",33
"Arctica islandica","Bivalvia","MOBI","EP-Su",167
"Arenicola marina","Arenicolidae","POSE","SR-De",12
"Aricidea","Aricidea","POSE","SR-De",8
"Aricidea (Acmira) cerrutii","Aricidea","POSE","SR-De",4
"Aricidea suecica","Aricidea","POSE","SR-De",186
"Ascidiacea","Ascidiacea","URAS","EP-Su",26
"Astarte","Astarte","MOBI","EP-Su",4
"Astarte borealis","Astarte borealis","MOBI","EP-Su",8
"Asteroidea","Asteroidea","ECAS","SR-Pr-mac",10
"Axionice maculata","Terebellidae","POSE","SR-De",1
"Balanus","Balanus","CRCI","EP-Su",648
"Balanus balanus","Balanus balanus","CRCI","EP-Su",1
"Bivalvia","Bivalvia","MOBI","EP-Su",306
"Brada inhabilis","Brada","POSE","SR-De",9
"Brada villosa","Brada villosa","POSE","SR-De",1
"Bryozoa","Bryozoa","BRYO","EP-Su",3
"Buccinum undatum","Buccinum","MOGA","SR-Pr-mac",3
"Campanulariidae","Campanulariidae","CNHY","EP-Pr-zoo",4
"Capitella capitata","Capitellidae","POSE","SS-De",10905
"Capitellidae","Capitellidae","POSE","SS-De",21
"Caprella septentrionalis","Caprella","CRAM","SR-He-mic",18
"Caprellidae","Caprellidae","CRAM","SR-He-mic",25
"Cardiidae","Cardiidae","MOBI","EP-Su",45
"Cardium","Cardiidae","MOBI","EP-Su",4
"Chaetozone setosa","Chaetozone setosa","POSE","SR-De",1156
"Ciliatocardium ciliatum ciliatum","Cardiidae","MOBI","EP-Su",2
"Cirratulidae","Cirratulidae","POSE","SR-De",21
"Cirratulus cirratus","Cirratulus cirratus","POSE","SR-De",82
"Cistenides granulata","Henricia sanguinolenta","ECAS","SR-Pr-mac",8
"Cistenides hyperborea","Nereis procera","POER","SR-Om-mic",4
"Cossura longocirrata","Cossura longocirrata","POSE","SR-De",264
"Cossura pygodactylata","Cossura pygodactylata","POSE","SR-De",32
"Cossuridae","Cossura","POSE","SR-De",8
"Crassicorophium bonellii","Corophioidea","CRAM","SR-Su",344
"Crenella","Mytilidae","MOBI","EP-Su",32
"Crenella decussata","Crenella decussata","MOBI","EP-Su",3
"Cumacea","Cumacea","CRCU","EP-Su",26
"Dexamine thea","Amphipoda","CRAM","SR-Om-mic",4
"Dodecaceria concharum","Dodecaceria concharum","POSE","EP-Su",36
"Dorvilleidae","Dorvilleidae","POER","SR-Om-mic",4
"Ennucula tenuis","Ennucula tenuis","MOBI","SS-De",167
"Eteone longa","Eteone","POER","SR-Pr-mac",853
"Euchone","Euchone","POSE","EP-Su",13
"Eudorella emarginata","Eudorella emarginata","CRCU","SR-He-mic",1
"Eunoe nodosa","Eunoe","POER","SR-Pr-mac",30
"Eupolymnia nesidensis","Eupolymnia","POSE","SR-De",16
"Exogone hebes","Exogone","POER","SR-He-mic",24
"Exogone verugera","Exogone verugera","POER","SR-He-mic",25
"Flabelligera affinis","Flabelligera affinis","POSE","SR-De",5
"Flabelligera affinis???","Flabelligeridae","POSE","SR-De",1
