"","Artal","Flokkun","Name","New_Column"
"1",1999,"Ampharete acutifrons","Ampharetinae","Artal == ""1999"" & Flokkun == ""Ampharete acutifrons"" ~ ""Ampharetinae"""
"2",1999,"Bivalvia","NA","Artal == ""1999"" & Flokkun == ""Bivalvia"" ~ ""NA"""
"3",2013,"Harmothoe","Harmothoe extenuata","Artal == ""2013"" & Flokkun == ""Harmothoe"" ~ ""Harmothoe extenuata"""
"4",2013,"Polynoidae","Harmothoe extenuata","Artal == ""2013"" & Flokkun == ""Polynoidae"" ~ ""Harmothoe extenuata"""
"5",2014,"Praxillella","Praxillella praetermissa","Artal == ""2014"" & Flokkun == ""Praxillella"" ~ ""Praxillella praetermissa"""
"6",2014,"Syllidae","Syllis cornuta","Artal == ""2014"" & Flokkun == ""Syllidae"" ~ ""Syllis cornuta"""
"7",2015,"Syllidae","Syllis cornuta","Artal == ""2015"" & Flokkun == ""Syllidae"" ~ ""Syllis cornuta"""
"8",2015,"Mya","Mya arenaria","Artal == ""2015"" & Flokkun == ""Mya"" ~ ""Mya arenaria"""
"9",2015,"Mytilidae","Mytilus edulis","Artal == ""2015"" & Flokkun == ""Mytilidae"" ~ ""Mytilus edulis"""
"10",2015,"Ampharetidae","NA","Artal == ""2015"" & Flokkun == ""Ampharetidae"" ~ ""NA"""
"11",2016,"Aricidea","Amphitrite cirrata","Artal == ""2016"" & Flokkun == ""Aricidea"" ~ ""Amphitrite cirrata"""
"12",2016,"Capitellidae","Capitella capitata","Artal == ""2016"" & Flokkun == ""Capitellidae"" ~ ""Capitella capitata"""
"13",2016,"Cirratulidae","Cirratulus cirratus","Artal == ""2016"" & Flokkun == ""Cirratulidae"" ~ ""Cirratulus cirratus"""
"14",2016,"Cossuridae","Cossura longocirrata","Artal == ""2016"" & Flokkun == ""Cossuridae"" ~ ""Cossura longocirrata"""
"15",2016,"Nephtyidae","Nephtys","Artal == ""2016"" & Flokkun == ""Nephtyidae"" ~ ""Nephtys"""
"16",2016,"Pectinariidae","Pectinaria koreni","Artal == ""2016"" & Flokkun == ""Pectinariidae"" ~ ""Pectinaria koreni"""
"17",2016,"Phyllodocida","Phyllodoce maculata","Artal == ""2016"" & Flokkun == ""Phyllodocida"" ~ ""Phyllodoce maculata"""
"18",2016,"Spio","Spio filicornis","Artal == ""2016"" & Flokkun == ""Spio"" ~ ""Spio filicornis"""
"19",2016,"Spionidae","Spio filicornis","Artal == ""2016"" & Flokkun == ""Spionidae"" ~ ""Spio filicornis"""
"20",2016,"Syllidae","Syllis","Artal == ""2016"" & Flokkun == ""Syllidae"" ~ ""Syllis"""
"21",2016,"Cardiidae","Cardium","Artal == ""2016"" & Flokkun == ""Cardiidae"" ~ ""Cardium"""
"22",2016,"Cardiidae","Cardium","Artal == ""2016"" & Flokkun == ""Cardiidae"" ~ ""Cardium"""
"23",2017,"Mya","Mya arenaria","Artal == ""2017"" & Flokkun == ""Mya"" ~ ""Mya arenaria"""
