"matched_taxon_name","Kingdom","Phylum","Class","Subclass","Infraclass","Subterclass","Superorder","Order","Superfamily","Family","Genus","Species","Subfamily","Tribe","Subphylum","Suborder","Superclass","Subgenus","Infraorder","Parvorder","Subspecies","Section","Subsection","Flokkun","id","N","Artal","skipting","stod","Nu","gamalt","A","worms","Nfm","Major Group","Family code","Species code","Food Source","Motility","Habit","Om/Ca/He","Food size/type","FeedMode","Feeding guild","Cleaned Taxon name"
"Ampharete acutifrons","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharete acutifrons","E4A",1,2017,4,"E4",4,"Ampharete acutifrons","129775",129775,33,"POSE","0242","0040","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Ampharete acutifrons"
"Ampharete acutifrons","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharete acutifrons","E3",14,1999,1,"E3",14,"Ampharete acutifrons","129775",129775,622,"POSE","0242","0040","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Ampharete acutifrons"
"Ampharete acutifrons","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharete acutifrons","E3B",1,2014,1,"E3",1,"Ampharete acutifrons","129775",129775,8,"POSE","0242","0040","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Ampharete acutifrons"
"Ampharete acutifrons","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Ampharetidae","Ampharete","Ampharete acutifrons","Ampharetinae","Ampharetini","","Terebelliformia","","","","","","","","Ampharete acutifrons","U1A",1,2013,1,"U1",1,"Ampharete acutifrons","129775",129775,8,"POSE","0242","0040","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Ampharete acutifrons"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2017,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3A",3,2014,1,"E3",3,"Amphitrite cirrata","131474",131474,25,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3B",3,2014,1,"E3",3,"Amphitrite cirrata","131474",131474,25,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3A",1,2015,1,"E3",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","U1A",1,2013,1,"U1",1,"Amphitrite cirrata","131474",131474,8,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
"Amphitrite cirrata","Animalia","Annelida","Polychaeta","Sedentaria","Canalipalpata","","","Terebellida","","Terebellidae","Amphitrite","Amphitrite cirrata","Terebellinae","Terebellini","","Terebelliformia","","","","","","","","Amphitrite cirrata","E3C",1,2014,4,"E3",4,"Amphitrite cirrata","131474",131474,33,"POSE","0314","0076","SR","D","T","Om","sed/pom/mic/dia","De","SR-De","Amphitrite cirrata"
