"id","Flokkun","N","COMPLIANT"
"A7A","Skordýr",1,FALSE
"A7B","Pseudopolydora antennata",1,FALSE
"A7B","Ranaormur",2,FALSE
"A7C","Bandormur",7,FALSE
"A7C","Lirfa",1,FALSE
"A7C","Skeljar",25,FALSE
"B5A","Macoma calcarea",2,FALSE
"B5A","Nematoda",18,FALSE
"B5B","Capellitidae",1,FALSE
"B5B","Macoma calcaria",8,FALSE
"B5B","Nematoda",14,FALSE
"B5B","Ostracoda",1,FALSE
"B5B","Óþekkt",13,FALSE
"B5C","Cardium",1,FALSE
"B5C","Macoma calcarea",8,FALSE
"B5C","Nuculana pernula",2,FALSE
"B5C","Ostracoda",11,FALSE
"B8A","Lanassa venusta",1,FALSE
"B8A","Leaena ebranchiata",1,FALSE
"B8A","Macoma calcarea",7,FALSE
"B8A","Nematoda",2,FALSE
"B8A","Nuculana pernula",1,FALSE
"B8A","Ostracoda",7,FALSE
"B8A","Rækjulirfa",1,FALSE
"B8B","Macoma calcarea",6,FALSE
"B8B","Nematoda",9,FALSE
"B8B","Nuculana pernula",7,FALSE
"B8B","Ostracoda",8,FALSE
"B8C","Macoma calcarea",21,FALSE
"B8C","Nematoda",6,FALSE
"B8C","Nuculana pernula",2,FALSE
"B8C","Ostracoda",3,FALSE
"B8C","Serripes groenlandicus",1,FALSE
"C4A","Cistenides granulata",2,FALSE
"C4A","Macoma calcarea",8,FALSE
"C4A","Nematoda",24,FALSE
"C4B","Macoma calcarea",18,FALSE
"C4B","Nematoda",41,FALSE
"C4B","Nuculana pernula",1,FALSE
"C4C","Macoma calcarea",15,FALSE
"C4C","Nematoda",13,FALSE
"C4C","Nuculana pernula",1,FALSE
"C4C","Óþekkt",14,FALSE
"E3A","Cistenides hyperborea",1,FALSE
"E3A","Macoma calcarea",1,FALSE
"E3A","Nematoda",3,FALSE
"E3A","Ostracoda",4,FALSE
"E3B","Macoma calcarea",7,FALSE
"E3B","Nematoda",2,FALSE
"E3C","Amphitrite cirrata",1,FALSE
"E3C","Macoma calcarea",8,FALSE
"E3C","Nematoda",15,FALSE
"E3C","Ostracoda",3,FALSE
"E4A","Macoma calcarea",14,FALSE
"E4A","Nematoda",14,FALSE
"E4A","Ostracoda",3,FALSE
"E4A","Sipuncula ",1,FALSE
"E4A","Terebelliformia",1,FALSE
"E4B","Macoma calcarea",11,FALSE
"E4B","Nematoda",21,FALSE
"E4B","Paraonidae ",1,FALSE
"E4B","Tubificoides kozloffi",1,FALSE
"E4C","Macoma calcarea",5,FALSE
"E4C","Nematoda",3,FALSE
