"","ar","stod","tap","sd"
"1","2013","A7",0.181515414138913,0.00544534378975074
"3","2013","B5",0.174146595044186,0.00245055200549895
"4","2013","B8",0.178503108560497,0.010990421037094
"5","2013","C4",0.142787808192584,0.0199049666612412
"6","2013","E3",0.215412621359223,0.127862755335917
"7","2013","E4",0.135196812364163,0.0118334943096431
"10","2014","A7",0.117573294968505,0.000976059208807937
"12","2014","B5",0.119127447894571,0.000348361831630225
"13","2014","B8",0.12940849965294,0.000600243017338078
"14","2014","C4",0.113006923837784,0.00034970661779751
"15","2014","E3",0.101006035443262,0.000119010118739825
"16","2014","E4",0.126232974506719,0.000449569977393725
"18","2015","A7",0.118865354458575,0.00105675176697187
"20","2015","B5",0.124407020872865,0.00083859912379809
"21","2015","B8",0.117179453375411,0.00277626938387639
"22","2015","C4",0.132290387475618,0.00314117917812511
"23","2015","E3",0.090402518790167,0.00226462935582809
"24","2015","E4",0.103923910552975,0.000285425329099763
"27","2016","A7",0.10855175801997,0.00129099190584701
"29","2016","B5",0.105198658268468,0.001823914492673
"30","2016","B8",0.111245191819955,0.000420021748488332
"31","2016","C4",0.0969106601341345,0.000215745910008022
"32","2016","E3",0.0885715142546809,0.00132600786385895
"33","2016","E4",0.092065868263473,0.00246993386642007
"36","2017","A7",0.144215480661367,0.010280862872346
"38","2017","B5",0.115848718019756,0.000495255850064288
"39","2017","B8",0.116370341491164,0.0014744503375705
"40","2017","C4",0.10220582768636,0.000435189983246506
"41","2017","E3",0.0796504565039956,0.00243540659124004
"42","2017","E4",0.101525813669742,0.000814994916882806
