ar,stod,deigla,fyrir,eftir,a/b
2013,U1,14.61,2.03,16.24,a
2013,U1,15.74,1.05,16.59,b
2013,U2,14.52,2.04,16.41,a
2013,U2,10.57,1.95,12.34,b
2013,A7,16.37,2.05,18.04,a
2013,A7,16.41,1.97,18.03,b
2013,B0,14.33,2,15.95,a
2013,B0,15.16,2.01,16.78,b
2013,B5,14.33,1.99,15.97,a
2013,B5,15.99,2.03,17.67,b
2013,B8,14.75,2.04,16.41,a
2013,B8,14.78,2.05,16.48,b
2013,C4,16.06,2.02,17.82,a
2013,C4,16.3,2.04,18.02,b
2013,E3,10,2.06,11.43,a
2013,E3,15.65,2,17.4,b
2013,E4,15.67,2.05,17.46,a
2013,E4,9.96,2.02,11.69,b
