ar,stod,deigla,fyrir,eftir,a/b
2016,A7,15132,2092,16995,a
2016,A7,13677,2016,15476,b
2016,B0,14788,2027,16625,a
2016,B0,14270,2051,16130,b
2016,B5,15622,2021,17433,a
2016,B5,13315,2019,15119,b
2016,C4,16464,2009,18278,a
2016,C4,14777,2005,16588,b
2016,E3,16897,2054,18771,a
2016,E3,10572,2078,12464,b
2016,E4,15620,2004,17436,a
2016,E4,16598,2004,18421,b
2016,U2,16438,2058,18375,a
2016,U2,14562,2021,16462,b
2016,U3,16303,2016,18078,a
2016,U3,12626,2058,14440,b
2017,A7,16677,2020,18391,a
2017,A7,16066,2030,17818,b
2017,B0,17137,1007,18045,a
2017,B0,17411,0,0,b
2017,B5,14288,2031,16083,a
2017,B5,16853,2026,18645,b
2017,B8,16375,2010,18149,a
2017,B8,15833,2029,17628,b
2017,C4,14135,2029,15956,a
2017,C4,15109,2002,16907,b
2017,E3,16202,2040,18076,a
2017,E3,10173,2066,12078,b
2017,E4,15351,1998,17145,a
2017,E4,14498,2001,16297,b
2017,U1,16446,1113,17408,a
2017,U1,14110,0,0,b
2017,U2,10501,2014,12369,a
2017,U2,15273,2028,17162,b
2017,U3,16162,2011,17948,a
2017,U3,14540,461,14953,b
2017,B7,15716,2062,17548,a
2017,B7,14613,2046,16432,b
2014,A7,14267,2002,16035,a
2014,A7,15030,2004,16797,b
2014,B0,13890,1990,15680,a
2014,B0,15650,740,16310,b
2014,B5,10498,2002,12262,a
2014,B5,9987,2044,11787,b
2014,B8,9892,2095,11715,a
2014,B8,11020,2008,12769,b
2014,C4,10031,2022,11824,a
2014,C4,9991,2022,11785,b
2014,E3,10013,2061,11866,a
2014,E3,10240,2018,12054,b
2014,E4,14111,2015,15871,a
2014,E4,17411,2049,19202,b
2014,U2,15615,2037,17494,a
2014,U2,14561,2081,16474,b
2015,A7,15250,2065,17068,a
2015,A7,16604,1998,18366,b
2015,B0,15784,2053,17607,a
2015,B0,15406,2007,17189,b
2015,B5,13720,2096,15554,a
2015,B5,15665,2108,17512,b
2015,B8,15969,2057,17789,a
2015,B8,14617,2006,16384,b
2015,C4,14828,2037,16591,a
2015,C4,14947,2022,16706,b
2015,E3,14727,2076,16612,a
2015,E3,15697,2027,17544,b
2015,E4,15042,2036,16866,a
2015,E4,15659,2015,17465,b
2015,U2,16966,2033,18835,a
2015,U2,13947,2040,15824,b
2015,U3,14654,2009,16544,a
2015,U3,16236,2009,18128,b
