"","x"
"1","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Eucarida
Order Euphausiacea
Family Euphausiidae
Genus Meganyctiphanes
Species norvegica"
"2","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Eucarida
Order Euphausiacea
Family Euphausiidae
Genus Nyctiphanes
Species couchi"
"3","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Eucarida
Order Euphausiacea
Family Euphausiidae
Genus Stylocheiron
Species longicorne"
"4","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Eucarida
Order Euphausiacea
Family Euphausiidae
Genus Thysanoessa
Species inermis"
"5","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Eucarida
Order Euphausiacea
Family Euphausiidae
Genus Thysanoessa
Species longicaudata"
"6","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Eucarida
Order Euphausiacea
Family Euphausiidae
Genus Thysanoessa
Species raschii"
"7","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Bodotriidae
Genus Bodotria
Species arenosa"
"8","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Bodotriidae
Genus Bodotria
Species pulchella"
"9","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Bodotriidae
Genus Bodotria
Species scorpioides"
"10","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Bodotriidae
Genus Cumopsis
Species goodsiri"
"11","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Bodotriidae
Genus Iphinoe
Species serrata"
"12","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Bodotriidae
Genus Iphinoe
Species trispinosa"
"13","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Bodotriidae
Genus Vaunthompsonia
Species cristata"
"14","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Dyastylidae
Genus Brachydiastylis
Species resima"
"15","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Dyastylidae
Genus Diastylis
Species bradyi"
"16","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Dyastylidae
Genus Diastylis
Species cornuta"
"17","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Dyastylidae
Genus Diastylis
Species laevis"
"18","Phylum Arthropoda
Subphylum Crustacea
Class Malacostraca
Subclass Eumalacostraca
Superorder Peracarida
Order Cumacea
Family Dyastylidae
Genus Diastylis
Species lucifera"
