"","x"
"1","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Eunicida
Superfamily Eunicoidea
Family Lumbrineridae
Genus Abyssoninoe
Species Abyssoninoe hibernica"
"2","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Acanthicolepis
Species Acanthicolepis asperrima"
"3","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Adyte
Species Adyte pellucida"
"4","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Aglaophamus
Species Aglaophamus malmgreni"
"5","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nephtyoidea
Family Nephtyidae
Genus Aglaophamus
Species Aglaophamus rubella"
"6","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Phyllodocoidea
Family Alciopidae
Genus Alciopa
Species Alciopa reynaudii"
"7","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Alentia
Species Alentia gelatinosa"
"8","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Alkmaria
Species Alkmaria romijni"
"9","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Polycirrinae
Genus Amaeana
Species Amaeana trilobata"
"10","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Amage
Species Amage auricula"
"11","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Nereidoidea
Family Syllidae
Subfamily Eusyllinae
Genus Amblyosyllis
Species Amblyosyllis formosa"
"12","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Ampharete
Species Ampharete acutifrons"
"13","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Ampharete
Species Ampharete baltica"
"14","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Ampharete
Species Ampharete falcata"
"15","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Ampharete
Species Ampharete finmarchica"
"16","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Ampharete
Species Ampharete goesi"
"17","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Ampharete
Species Ampharete lindstroemi"
"18","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Amphicteis
Species Amphicteis gunneri"
"19","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Amphicteis
Species Amphicteis midas"
"20","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Amphicteis
Species Amphicteis sundevalli"
"21","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Sabellidae
Subfamily Sabellinae
Genus Amphiglena
Species Amphiglena mediterranea"
"22","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Amphitrite
Species Amphitrite cirrata"
"23","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Terebellidae
Subfamily Terebellinae
Genus Amphitritides
Species Amphitritides gracilis"
"24","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Amythasides
Species Amythasides macroglossus"
"25","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Terebellida
Family Ampharetidae
Subfamily Ampharetinae
Genus Anobothrus
Species Anobothrus gracilis"
"26","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Polynoidae
Genus Antinoe
Species Antinoe finmarchica"
"27","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Aonides
Species Aonides oxycephala"
"28","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Spionidae
Genus Aonides
Species Aonides paucibranchiata"
"29","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Aphelochaeta
Species Aphelochaeta marioni"
"30","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Aphelochaeta
Species Aphelochaeta multibranchis"
"31","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Cirratulida
Family Cirratulidae
Genus Aphelochaeta
Species Aphelochaeta vivipara"
"32","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Phyllodocida
Superfamily Aphroditoidea
Family Aphroditidae
Genus Aphrodita
Species Aphrodita aculeata"
"33","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Ctenodrilida
Family Ctenodrilidae
Subfamily Ctenodrilinae
Genus Aphropharynx
Species Aphropharynx heterochaeta"
"34","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Apistobranchidae
Genus Apistobranchus
Species Apistobranchus tenuis"
"35","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Spionida
Family Apistobranchidae
Genus Apistobranchus
Species Apistobranchus tullbergi"
"36","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Sabellida
Family Serpulidae
Subfamily Serpulinae
Genus Apomatus
Species Apomatus similis"
"37","Kingdom Animalia
Phylum Annelida
Class Polychaeta
Order Capitellida
Family Arenicolidae
Genus Arenicola
Species Arenicola marina"
