"","x"
"1","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Amphiporidae
Genus Amphiporus
Species Amphiporus bioculatus"
"2","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Amphiporidae
Genus Amphiporus
Species Amphiporus cordiceps"
"3","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Amphiporidae
Genus Amphiporus
Species Amphiporus hastatus"
"4","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Amphiporidae
Genus Amphiporus
Species Amphiporus lactifloreus"
"5","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Tubulanidae
Genus Callinera
Species Callinera buergeri"
"6","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Carcinonemertidae
Genus Carcinonemertes
Species Carcinonemertes carcinophila"
"7","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Tubulanidae
Genus Carinina
Species Carinina arenaria"
"8","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Tubulanidae
Genus Carinina
Species Carinina coei"
"9","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Carinomidae
Genus Carinoma
Species Carinoma armandi"
"10","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Cephalothricidae
Genus Cephalothrix
Species Cephalothrix arenaria"
"11","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Cephalothricidae
Genus Cephalothrix
Species Cephalothrix linearis"
"12","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Cephalothricidae
Genus Cephalothrix
Species Cephalothrix rufifrons"
"13","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Cerebratulidae
Genus Cerebratulus
Species Cerebratulus fuscus"
"14","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Cerebratulidae
Genus Cerebratulus
Species Cerebratulus marginatus"
"15","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Emplectonema
Species Emplectonema gracile"
"16","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Emplectonema
Species Emplectonema neesii"
"17","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Hubrechtidae
Genus Hubrechtella
Species Hubrechtella dubia"
"18","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Lineus
Species Lineus albocinctus"
"19","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Lineus
Species Lineus bilineatus"
"20","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Lineus
Species Lineus lacteus"
"21","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Lineus
Species Lineus longissimus"
"22","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Lineus
Species Lineus ruber"
"23","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Lineus
Species Lineus sanguineus"
"24","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Lineus
Species Lineus viridis"
"25","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Bdellonemertea
Family Malacobdellidae
Genus Malacobdella
Species Malacobdella grossa"
"26","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Micrura
Species Micrura fasciolata"
"27","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Heteronemertea
Family Lineidae
Genus Micrura
Species Micrura purpurea"
"28","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Nemertopsis
Species Nemertopsis flavida"
"29","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Cratenemertidae
Genus Nipponnemertes
Species Nipponnemertes pulcher"
"30","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Oerstedia
Species Oerstedia dorsalis"
"31","Kingdom Animalia
Phylum Nermertina
Class Anopla
Order Palaeonemertea
Family Cephalothricidae
Genus Procephalothrix
Species Procephalothrix filiformis"
"32","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Tetrastemma
Species Tetrastemma candidum"
"33","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Tetrastemma
Species Tetrastemma flavidum"
"34","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Tetrastemma
Species Tetrastemma helvolum"
"35","Kingdom Animalia
Phylum Nermertina
Class Enopla
Order Hoplonemertea
Suborder Monostilifera
Family Emplectonematidae
Genus Tetrastemma
Species Tetrastemma melanocephalum"
