"Flokkun","1999","2013","2014","2015","2016","2017"
"Abra nitida",5,,,,13,61
"Abra prismatica",,,,,1,
"Acanthocardia echinata",,,,,,1
"Acanthocardia tuberculata",,,,,1,
"Acarina",,6,,,,
"Acmaea testudinalis",,,1,,,
"Ampharete",,1,,,,1
"Ampharete acutifrons",14,1,1,,,1
"Ampharetidae",,,,,1,2
"Ampharetinae",10,,,,,
"amphipoda",,4,,,,
"Amphipoda",,1,9,1,28,9
"Amphitrite affinis",,1,,,,
"Amphitrite cirrata",,1,8,1,1,1
"Anthozoa",,,1,,,
"Apistobranchus tullbergi",13,,,2,,3
"Arctica islandica",16,5,2,1,17,14
"Arenicola marina",,1,3,1,,1
"Aricidea",,,,,2,
"Aricidea (Acmira) cerrutii",4,,,,,
"Aricidea suecica",,14,2,2,19,13
"Ascidiacea",,5,,,,
"Astarte",4,,,,,
"Astarte borealis",,1,,,,
"Asteroidea",,2,1,,,1
"Axionice maculata",,1,,,,
"Balanus",,,364,100,,184
"Balanus balanus",,,,,1,
"Bivalvia",10,33,,1,25,
"Brada inhabilis",,2,,,,
"Brada villosa",,1,,,,
"Bryozoa",,,3,,,
"Buccinum undatum",1,,,,,2
"Campanulariidae",,,,,1,
"Capitella capitata",,6305,531,1,7,
"Capitellidae",,,,,6,
"Caprella septentrionalis",18,,,,,
"Caprellidae",,,6,,,1
"Cardiidae",,,,2,,9
"Cardium",,,,,1,
"Chaetozone setosa",63,273,69,56,44,50
"Ciliatocardium ciliatum ciliatum",,,2,,,
"Cirratulidae",,,,,6,
"Cirratulus cirratus",1,4,8,8,3,1
"Cistenides granulata",,,,,2,
"Cistenides hyperborea",,,,,1,
"Collembola",,,1,,,
"Copepoda",,141,,,,
"Corophium bonnellii",,32,,,,36
"Cossura longocirrata",44,22,,2,14,9
"Cossura pygodactylata",,,,,,8
"Cossuridae",,,,,2,
"Crassicorophium bonellii",10,,,,9,
"Crenella",,3,,2,,
"Crenella decussata",3,,,,,
"Cumacea",,4,,,2,1
"Cyclopterus lumpus",,,,,,1
