"Flokkun","Artal","N"
"Abra nitida",1999,5
"Abra nitida",2016,13
"Abra nitida",2017,61
"Abra prismatica",2016,1
"Acanthocardia echinata",2017,1
"Acanthocardia tuberculata",2016,1
"Acarina",2013,6
"Acmaea testudinalis",2014,1
"Ampharete",2013,1
"Ampharete",2017,1
"Ampharete acutifrons",1999,14
"Ampharete acutifrons",2013,1
"Ampharete acutifrons",2014,1
"Ampharete acutifrons",2017,1
"Ampharetidae",2016,1
"Ampharetidae",2017,2
"Ampharetinae",1999,10
"Amphipoda",2013,1
"Amphipoda",2014,8
"Amphipoda",2015,1
"Amphipoda",2016,27
"Amphipoda",2017,9
"Amphitrite affinis",2013,1
"Amphitrite cirrata",2013,1
"Amphitrite cirrata",2014,8
"Amphitrite cirrata",2015,1
"Amphitrite cirrata",2016,1
"Amphitrite cirrata",2017,1
"Anthozoa",2014,1
"Apistobranchus tullbergi",1999,13
"Apistobranchus tullbergi",2015,2
"Apistobranchus tullbergi",2017,3
"Arctica islandica",1999,16
"Arctica islandica",2013,5
"Arctica islandica",2014,2
"Arctica islandica",2015,1
"Arctica islandica",2016,15
"Arctica islandica",2017,14
"Arenicola marina",2013,1
"Arenicola marina",2014,3
"Arenicola marina",2015,1
"Aricidea",2016,2
"Aricidea (Acmira) cerrutii",1999,4
"Aricidea suecica",2013,14
"Aricidea suecica",2014,2
"Aricidea suecica",2015,2
"Aricidea suecica",2016,19
"Aricidea suecica",2017,13
"Ascidiacea",2013,5
"Astarte",1999,4
"Astarte borealis",2013,1
"Asteroidea",2013,2
"Asteroidea",2014,1
"Asteroidea",2017,1
"Axionice maculata",2013,1
"Balanus",2014,364
"Balanus",2015,100
"Balanus",2017,4
"Balanus balanus",2016,1
"Bivalvia",2016,12
"Brada inhabilis",2013,2
"Brada villosa",2013,1
"Bryozoa",2014,3
"Buccinum undatum",1999,1
"Buccinum undatum",2017,2
"Campanulariidae",2016,1
"Capitella capitata",2013,6305
"Capitella capitata",2014,531
"Capitella capitata",2015,1
"Capitella capitata",2016,6
"Capitellidae",2016,6
"Caprella septentrionalis",1999,18
"Caprellidae",2014,6
"Caprellidae",2017,1
"Cardiidae",2016,1
"Cardium",2016,1
"Chaetozone setosa",1999,63
"Chaetozone setosa",2013,273
"Chaetozone setosa",2014,69
"Chaetozone setosa",2015,56
"Chaetozone setosa",2016,38
"Chaetozone setosa",2017,50
"Ciliatocardium ciliatum ciliatum",2014,2
"Cirratulidae",2016,6
"Cirratulus cirratus",1999,1
"Cirratulus cirratus",2013,4
"Cirratulus cirratus",2014,8
"Cirratulus cirratus",2015,8
"Cirratulus cirratus",2016,3
"Cirratulus cirratus",2017,1
"Cistenides granulata",2016,2
"Cistenides hyperborea",2016,1
"Collembola",2014,1
"Copepoda",2013,141
"Cossura longocirrata",1999,44
"Cossura longocirrata",2013,22
"Cossura longocirrata",2015,2
"Cossura longocirrata",2016,13
"Cossura longocirrata",2017,9
"Cossura pygodactylata",2017,8
"Cossuridae",2016,2
"Crassicorophium bonellii",1999,10
"Crassicorophium bonellii",2013,32
"Crassicorophium bonellii",2016,8
"Crassicorophium bonellii",2017,36
"Crenella",2013,3
"Crenella",2015,2
"Crenella decussata",1999,3
"Cumacea",2013,4
"Cumacea",2016,1
"Cumacea",2017,1
"Cyclopterus lumpus",2017,1
"Dexamine thea",2017,1
"Dodecaceria concharum",1999,8
"Dodecaceria concharum",2013,3
"Dodecaceria concharum",2014,1
"Dorvilleidae",2016,1
"Ennucula tenuis",1999,80
"Ennucula tenuis",2014,3
"Ennucula tenuis",2015,4
"Ennucula tenuis",2016,11
"Ennucula tenuis",2017,3
"Eteone longa",1999,7
"Eteone longa",2016,26
"Eteone longa ",2014,222
"Eteone longa ",2015,38
"Eteone longa ",2017,23
"Eudorella emarginata",1999,1
"Eunoe nodosa",2013,18
"Eunoe nodosa",2016,3
"Eupolymnia nesidensis",2013,16
"Exogone hebes",2013,3
"Exogone verugera",2013,11
"Flabelligera affinis",2015,1
"Flabelligera affinis",2017,1
"Flabelligera affinis???",2013,1
"Gattyana cirrhosa",2013,4
"Gattyana cirrhosa",2016,1
"Gibbula tumida",2017,1
"Glycera capitata",2015,1
"Harmothoe",2013,69
"Harmothoe",2014,71
"Harmothoe",2015,17
"Harmothoe",2017,15
"Harmothoe extenuata",2013,15
"Harmothoe imbricata",2013,21
"Harmothoe imbricata",2016,2
"harpacticoida",2016,3
"Henricia sanguinolenta",2013,4
"Heteromastus filiformis",1999,11
"Heteromastus filiformis",2013,1
"Heteromastus filiformis",2016,88
"Heteromastus filiformis",2017,1
"Hiatella arctica",2013,1
"Hiatella arctica",2014,5
"Hiatella arctica",2015,6
"Hiatella arctica",2016,2
"Hiatella arctica",2017,6
"Hyas araneus",2013,1
"Kurtiella bidentata",2016,3
"Lacuna vincta",2014,2
"Lanassa venusta",1999,16
"Lanassa venusta",2013,6
"Lanassa venusta",2014,4
"Lanassa venusta",2015,7
"Lanassa venusta",2016,1
"Lanassa venusta",2017,8
"Laphania boecki",1999,2
"Leaena ebranchiata",2016,1
"Leda pernula",1999,4
"Lepeta caeca",2013,1
"Lepidonotus squamatus",2013,4
"Leucon acutirostris",1999,41
"Levinsenia gracilis",1999,58
"Levinsenia gracilis",2013,6
"Levinsenia gracilis",2016,2
"Lumbrineridae",2016,1
"Lumbrineris",1999,1
"Macoma calcarea",1999,51
"Macoma calcarea",2013,31
"Macoma calcarea",2014,18
"Macoma calcarea",2015,136
"Macoma calcarea",2016,143
"Macoma calcarea",2017,164
"Malacoceros fuliginosus",2014,65
"Maldane sarsi",1999,1
"Maldanidae",2013,1
"Maldanidae",2015,2
"Maldanidae",2016,36
"Maldanidae",2017,1
"Margarites groenlandicus",2017,1
"Mediomastus filiformis",1999,10
"Mediomastus filiformis",2013,2
"Mediomastus filiformis",2017,1
"Mediomastus fragilis",2013,16
